iter	Passed	Remaining
0	1	118
1	2	98
2	2	90
3	3	83
4	4	81
5	5	84
6	6	84
7	7	82
8	8	80
9	8	79
10	9	77
11	10	76
12	11	74
13	11	73
14	12	72
15	13	70
16	14	70
17	15	70
18	16	69
19	17	68
20	18	68
21	19	67
22	19	66
23	21	66
24	22	66
25	23	65
26	24	66
27	25	65
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	61
34	32	60
35	33	59
36	34	58
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	46	46
50	46	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
