iter	Passed	Remaining
0	138	138037
1	139	69754
2	141	47006
3	142	35532
4	144	28682
5	148	24597
6	150	21281
7	151	18843
8	153	16947
9	155	15371
10	164	14819
11	168	13867
12	169	12896
13	171	12054
14	173	11379
15	175	10771
16	176	10223
17	192	10481
18	194	10039
19	197	9672
20	199	9319
21	201	8966
22	203	8625
23	204	8300
24	205	7999
25	206	7728
26	207	7470
27	208	7231
28	209	7005
29	210	6797
30	211	6611
31	214	6484
32	215	6326
33	217	6169
34	218	6018
35	219	5888
36	221	5768
37	222	5642
38	224	5525
39	225	5414
40	226	5304
41	228	5209
42	229	5114
43	231	5019
44	232	4935
45	234	4859
46	235	4783
47	237	4712
48	239	4642
49	240	4568
50	242	4515
51	243	4446
52	245	4385
53	247	4329
54	248	4264
55	249	4203
56	250	4141
57	251	4082
58	253	4044
59	254	3994
60	256	3941
61	257	3889
62	258	3839
63	259	3789
64	260	3740
65	261	3694
66	262	3650
67	263	3608
68	264	3570
69	265	3533
70	268	3508
71	269	3470
72	271	3447
73	272	3409
74	273	3377
75	274	3341
76	275	3306
77	277	3275
78	278	3250
79	280	3222
80	281	3194
81	282	3164
82	283	3129
83	284	3103
84	286	3079
85	287	3053
86	288	3026
87	289	3002
88	290	2978
89	292	2954
90	293	2930
91	295	2915
92	296	2894
93	297	2870
94	299	2850
95	300	2829
96	301	2805
97	302	2784
98	303	2764
99	304	2743
100	305	2723
101	306	2702
102	308	2682
103	308	2662
104	310	2642
105	311	2623
106	311	2603
107	313	2587
108	314	2573
109	315	2555
110	316	2536
111	317	2521
112	318	2502
113	319	2484
114	320	2466
115	321	2448
116	321	2430
117	323	2414
118	324	2398
119	325	2383
120	326	2368
121	326	2352
122	328	2341
123	329	2327
124	330	2312
125	331	2298
126	332	2282
127	333	2269
128	334	2255
129	334	2241
130	335	2227
131	336	2213
132	337	2200
133	338	2187
134	339	2174
135	340	2162
136	341	2149
137	342	2138
138	343	2128
139	344	2116
140	345	2104
141	346	2091
142	346	2079
143	347	2067
144	348	2055
145	349	2044
146	350	2032
147	351	2020
148	351	2009
149	352	1999
